Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_duration,days_of_leaves,overtime_count
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,6.870228692547969,17,0
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.315970548862115,13,42
32,No,Travel_Frequently,Research & Development,17,4,Other,3,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,6.8160809906291835,7,0
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,6.78921463632307,14,0
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,7.877561356537259,4,115
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.275802097278001,12,237
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.450876840696118,17,1
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.563557563587684,6,0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,6.684316153502901,19,1
25,No,Non-Travel,Research & Development,7,4,Medical,10,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,6.653576528335565,15,0
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.133493975903615,8,222
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,6.8418395805443994,8,0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,8.554308344489067,20,229
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,8.871421240517627,14,235
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,5.894035029004908,8,0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.382033690316823,12,0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.034225792057117,22,0
37,No,Non-Travel,Research & Development,1,3,Medical,18,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,10.881625390450692,3,246
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.485055778670236,17,0
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,8.621732485497546,18,231
26,No,Travel_Frequently,Research & Development,1,4,Other,21,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,7.0725323516287375,17,27
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,5.622517849174475,16,0
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,7.828470548862115,17,210
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,1,Manufacturing Director,Married,89260,1.0,14,0,13.0,4,20,11,6,2.0,3.0,3.0,1,3,6.615643685854529,7,0
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,6.580408299866131,18,1
55,No,Travel_Rarely,Research & Development,1,4,Other,26,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,9.06121485943775,8,241
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,10.536275100401607,10,239
37,No,Travel_Rarely,Sales,5,1,Marketing,28,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,7.2074252565818835,13,22
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10.713065595716198,6,243
38,No,Travel_Rarely,Sales,2,3,Marketing,30,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,6.310013386880857,19,0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,9.662807898259704,11,238
28,No,Travel_Rarely,Research & Development,7,3,Other,32,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,6.521040829986614,7,0
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,9.88458723784025,15,234
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.033902275769745,6,0
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,6.348326639892904,9,0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,9.570923694779117,17,232
