CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,5,12691,777
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,6,8256,864
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,4,3418,0
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3,3313,2517
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,5,4716,0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,3,4010,1247
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,6,34516,2264
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,2,29081,1396
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,5,22352,2517
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,6,11656,1677
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,5,6748,1467
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,6,9095,1587
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,3,11751,0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,5,8547,1666
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,5,2436,680
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,5,4234,972
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,6,30367,2362
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,4,13535,1291
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,2,3193,2517
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,6,14470,1157
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,5,20979,1800
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,2,1438.3,0
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4,4470,680
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,3,2492,1560
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,4,12217,0
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,6,7768,1669
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,4,14784,1374
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,3,10215,1010
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,5,10100,0
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,6,4785,1362
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,3,2753,1811
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2,2451,1690
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,4,8923,2517
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,5,2650,1490
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,6,12555,1696
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,4,3520,1914
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,6,3035,2298
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,2,15433,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3,3672,886
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,5,7882,605
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,2,32426,578
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,4,6205,2204
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,3,17304,2517
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,5,3906,0
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,2,9830,2055
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,3,34516,0
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,6,2283,1430
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,3,2548,2020
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,4,19458,1435
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,5,4745,1227
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,6,2622,1549
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,2,1438.3,808
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,3,3171,2179
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,4,19763,2517
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,1,15769,0
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,6,3298,2200
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2,2802,2363
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,4,4458,1880
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,4,6273,978
